iteration: 8100, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 8200, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8300, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8400, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8500, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8600, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8700, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 8800, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 8900, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9000, loss: 0.0025, scmap loss: 0.0023, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9100, loss: 0.0022, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9200, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9300, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9400, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9500, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9600, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 9700, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9800, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 9900, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10000, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10100, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10200, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10300, loss: 0.0021, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10400, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10500, loss: 0.0023, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10600, loss: 0.0022, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10700, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 10800, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 10900, loss: 0.0024, scmap loss: 0.0022, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11000, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11100, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11200, loss: 0.0022, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11300, loss: 0.0020, scmap loss: 0.0018, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11400, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11500, loss: 0.0020, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 11600, loss: 0.0023, scmap loss: 0.0021, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11700, loss: 0.0022, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11800, loss: 0.0021, scmap loss: 0.0020, locref loss: 0.0000, limb loss: 0.0002, lr: 5e-05
iteration: 11900, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 12000, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 5e-05
iteration: 12100, loss: 0.0021, scmap loss: 0.0019, locref loss: 0.0000, limb loss: 0.0001, lr: 1e-05
