scorer,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000
individuals,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2
bodyparts,leftwing,leftwing,leftwing,rightwing,rightwing,rightwing,head,head,head,torax,torax,torax,abdomen,abdomen,abdomen,leftwing,leftwing,leftwing,rightwing,rightwing,rightwing,head,head,head,torax,torax,torax,abdomen,abdomen,abdomen
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
59,805.0,66.75,0.9995,858.5,72.3125,1.0,800.0,298.75,1.0,810.5,229.375,1.0,813.0,154.25,1.0,,,,,,,,,,,,,,,
60,805.0,66.6875,1.0,858.0,72.3125,1.0,800.0,298.75,1.0,811.5,229.375,1.0,813.0,154.25,1.0,,,,,,,,,,,,,,,
61,805.0,65.1875,0.9995,858.0,69.25,0.9995,800.0,298.75,1.0,812.5,229.375,1.0,814.0,155.375,1.0,,,,,,,,,,,,,,,
62,805.0,65.125,1.0,858.5,69.25,1.0,800.0,298.75,1.0,812.5,229.375,1.0,814.0,155.875,1.0,,,,,,,,,,,,,,,
63,804.5,65.125,1.0,858.5,72.0625,1.0,800.0,299.5,1.0,812.0,230.625,1.0,814.0,155.875,1.0,,,,,,,,,,,,,,,
64,804.5,64.125,1.0,858.0,73.3125,1.0,800.0,299.5,1.0,812.0,227.25,1.0,810.5,158.25,1.0,,,,,,,,,,,,,,,
65,804.0,65.125,0.9995,858.5,73.3125,1.0,800.5,299.25,1.0,812.0,228.375,1.0,809.5,160.25,1.0,,,,,,,,,,,,,,,
66,804.5,66.4375,0.9995,856.5,74.0625,1.0,799.5,299.25,1.0,812.0,228.375,1.0,809.0,160.25,1.0,,,,,,,,,,,,,,,
67,802.0,68.625,1.0,856.5,74.125,1.0,799.5,299.0,1.0,811.5,232.0,1.0,807.5,161.5,1.0,,,,,,,,,,,,,,,
68,802.0,68.9375,1.0,857.5,74.125,1.0,799.5,298.75,1.0,811.5,232.0,1.0,807.5,164.125,1.0,,,,,,,,,,,,,,,
69,802.5,68.9375,0.9907,858.5,75.8125,1.0,799.5,298.75,1.0,809.0,234.625,1.0,809.5,161.5,1.0,,,,,,,,,,,,,,,
70,802.5,75.5625,1.0,857.5,76.3125,1.0,799.5,298.75,1.0,808.0,235.625,1.0,809.5,169.125,1.0,,,,,,,,,,,,,,,
71,802.5,75.5625,0.999,857.5,77.3125,1.0,799.0,298.75,1.0,805.5,236.375,1.0,809.5,169.125,1.0,,,,,,,,,,,,,,,
72,803.5,73.125,1.0,857.5,77.5,1.0,799.5,298.75,1.0,805.5,236.375,1.0,809.5,169.0,1.0,,,,,,,,,,,,,,,
73,803.5,73.125,1.0,857.5,77.75,1.0,800.0,298.5,1.0,805.5,235.625,1.0,809.5,164.125,1.0,,,,,,,,,,,,,,,
74,803.0,73.5,0.9995,856.5,77.5,1.0,800.5,298.5,1.0,806.5,237.375,1.0,809.5,168.25,1.0,,,,,,,,,,,,,,,
75,803.5,73.125,0.9995,857.5,77.75,1.0,800.0,298.5,1.0,806.5,237.25,1.0,809.0,164.125,1.0,,,,,,,,,,,,,,,
76,803.0,72.25,1.0,857.0,77.75,1.0,801.0,298.25,1.0,807.0,234.625,1.0,809.0,163.375,1.0,,,,,,,,,,,,,,,
77,802.0,73.5,0.9995,858.5,77.75,1.0,801.0,299.0,1.0,807.5,234.625,1.0,809.5,163.375,1.0,,,,,,,,,,,,,,,
78,801.5,73.5,0.9995,857.0,78.75,1.0,801.0,299.25,1.0,807.5,235.875,1.0,809.0,163.375,1.0,,,,,,,,,,,,,,,
79,801.5,73.25,1.0,857.0,79.125,1.0,804.0,300.0,1.0,807.5,235.875,1.0,806.5,163.375,1.0,,,,,,,,,,,,,,,
80,801.5,74.75,1.0,856.0,79.125,1.0,807.0,301.0,1.0,808.0,235.0,1.0,808.0,162.375,1.0,,,,,,,,,,,,,,,
81,801.5,74.75,0.9995,856.0,79.3125,1.0,808.5,301.25,1.0,810.0,235.0,1.0,808.0,162.375,1.0,,,,,,,,,,,,,,,
82,801.0,73.25,0.9995,856.0,79.3125,1.0,808.5,301.25,1.0,808.5,235.875,1.0,808.0,167.625,1.0,,,,,,,,,,,,,,,
83,801.5,73.25,0.9995,856.0,77.25,1.0,808.5,301.5,1.0,808.5,235.0,1.0,809.5,160.625,1.0,,,,,,,,,,,,,,,
84,802.0,71.6875,1.0,857.0,75.1875,1.0,804.0,301.25,1.0,810.5,234.875,1.0,810.0,158.625,1.0,,,,,,,,,,,,,,,
85,802.0,71.6875,1.0,857.0,75.1875,1.0,803.5,301.0,1.0,810.5,233.5,1.0,810.0,158.25,1.0,,,,,,,,,,,,,,,
86,802.0,71.5,0.9995,855.5,72.6875,1.0,801.5,300.25,1.0,810.5,233.125,1.0,810.5,158.25,1.0,,,,,,,,,,,,,,,
87,802.0,73.3125,1.0,855.0,74.25,1.0,801.5,300.25,1.0,811.0,232.375,1.0,811.0,158.25,1.0,,,,,,,,,,,,,,,
88,801.0,73.75,1.0,854.0,74.25,1.0,800.5,300.25,1.0,812.0,231.25,1.0,811.0,158.25,1.0,,,,,,,,,,,,,,,
89,801.0,74.1875,1.0,854.0,74.375,1.0,800.0,300.25,1.0,812.0,232.375,1.0,811.0,158.625,1.0,,,,,,,,,,,,,,,
90,801.0,73.75,1.0,854.0,74.375,1.0,801.5,300.25,1.0,812.0,232.375,1.0,810.0,160.5,1.0,,,,,,,,,,,,,,,
91,801.0,73.75,1.0,854.0,75.9375,1.0,800.0,300.0,1.0,812.0,231.125,1.0,809.0,161.875,1.0,,,,,,,,,,,,,,,
92,802.0,73.75,1.0,854.5,76.0,1.0,800.0,299.5,1.0,811.0,233.25,1.0,809.0,161.875,1.0,,,,,,,,,,,,,,,
93,802.0,73.6875,1.0,855.0,76.875,1.0,801.5,299.5,1.0,809.0,233.25,1.0,808.5,165.875,1.0,,,,,,,,,,,,,,,
94,802.5,73.6875,1.0,855.0,76.0,1.0,802.5,299.5,1.0,809.0,232.125,1.0,808.5,165.875,1.0,,,,,,,,,,,,,,,
95,802.0,73.6875,1.0,855.5,76.875,1.0,802.5,299.5,1.0,810.0,232.0,1.0,808.0,162.5,1.0,,,,,,,,,,,,,,,
96,802.0,73.6875,0.9995,856.0,76.0,1.0,802.5,299.5,1.0,810.0,232.125,1.0,808.5,162.5,1.0,,,,,,,,,,,,,,,
97,802.0,73.6875,1.0,856.0,77.0625,1.0,804.0,299.5,1.0,810.0,232.125,1.0,808.5,169.375,1.0,,,,,,,,,,,,,,,
98,802.0,75.0,1.0,856.0,77.0625,1.0,804.0,299.0,1.0,810.0,233.875,1.0,811.0,169.375,1.0,,,,,,,,,,,,,,,
99,802.0,75.5625,1.0,856.0,78.125,1.0,802.0,299.0,1.0,810.0,234.75,1.0,811.0,169.375,1.0,,,,,,,,,,,,,,,
100,800.5,75.875,1.0,853.5,78.0,1.0,802.0,299.0,1.0,808.5,234.875,1.0,811.0,169.375,1.0,,,,,,,,,,,,,,,
101,800.5,76.4375,1.0,853.5,78.125,1.0,802.0,299.0,1.0,806.5,236.5,1.0,810.0,169.375,1.0,,,,,,,,,,,,,,,
102,801.0,75.875,0.9995,855.5,78.125,1.0,801.0,299.0,1.0,806.5,236.5,1.0,810.0,167.0,1.0,,,,,,,,,,,,,,,
