scorer,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000,DLC_resnet50_maDrosophilaoct1shuffle1_20000
individuals,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros1,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2,dros2
bodyparts,leftwing,leftwing,leftwing,rightwing,rightwing,rightwing,head,head,head,torax,torax,torax,abdomen,abdomen,abdomen,leftwing,leftwing,leftwing,rightwing,rightwing,rightwing,head,head,head,torax,torax,torax,abdomen,abdomen,abdomen
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
227,794.5,77.5,1.0,847.5,84.25,1.0,798.5,303.25,1.0,803.0,244.75,1.0,812.5,166.0,1.0,1149.0,205.0,1.0,1163.0,281.5,1.0,905.5,265.0,1.0,976.0,255.0,1.0,1056.0,256.5,1.0
228,794.5,77.25,1.0,848.0,84.625,1.0,798.5,303.0,1.0,803.0,248.5,1.0,812.5,166.0,1.0,1147.0,205.0,1.0,1160.0,281.5,1.0,905.5,265.75,1.0,977.0,255.0,1.0,1056.0,254.375,1.0
229,794.5,77.5,1.0,849.0,84.625,1.0,799.0,303.75,1.0,802.5,248.875,1.0,813.0,166.0,1.0,1147.0,205.25,1.0,1160.0,281.5,1.0,904.5,265.75,1.0,977.0,256.5,1.0,1056.0,254.375,1.0
230,794.5,78.375,1.0,850.0,84.625,1.0,799.0,303.75,1.0,799.5,248.875,1.0,813.0,166.0,1.0,1146.0,204.625,1.0,1159.0,281.5,1.0,904.0,265.75,1.0,978.0,256.5,1.0,1056.0,253.375,1.0
231,794.0,78.375,1.0,852.5,84.625,1.0,799.5,303.75,1.0,802.5,248.875,1.0,813.0,169.0,1.0,1146.0,204.5,1.0,1158.0,279.75,1.0,902.0,266.0,0.01,979.5,255.125,0.01,1055.0,252.0,1.0
232,794.0,78.4375,1.0,852.5,86.25,1.0,799.5,303.75,1.0,801.5,248.875,1.0,813.0,169.25,1.0,1145.0,201.0,1.0,1157.0,279.75,1.0,900.5,265.75,1.0,979.5,255.125,1.0,1055.0,252.0,1.0
233,794.0,79.8125,1.0,855.0,88.75,1.0,799.5,303.75,0.9995,802.0,245.875,1.0,814.0,169.25,1.0,1143.0,200.0,1.0,1155.0,279.75,1.0,899.0,265.0,1.0,979.5,255.125,1.0,1054.0,252.875,1.0
234,794.0,79.8125,1.0,855.0,88.75,1.0,799.5,304.0,1.0,802.0,245.875,1.0,814.5,169.25,1.0,1140.0,200.0,1.0,1152.0,279.75,1.0,894.5,265.5,1.0,975.5,254.875,1.0,1052.0,252.875,1.0
235,795.0,79.875,1.0,856.0,87.1875,1.0,799.0,304.25,1.0,804.0,246.125,1.0,814.5,169.25,1.0,1139.0,200.0,1.0,1151.0,280.0,1.0,892.5,265.75,1.0,975.5,254.0,1.0,1049.0,252.875,1.0
236,795.0,81.1875,1.0,857.0,87.1875,1.0,798.5,304.25,0.9985,804.0,246.125,1.0,814.5,167.875,1.0,1139.0,199.625,0.9995,1151.0,280.0,0.9995,890.0,265.75,1.0,974.5,253.25,1.0,1049.0,252.875,1.0
237,795.5,84.9375,1.0,857.5,87.1875,1.0,798.5,304.25,1.0,804.0,246.125,1.0,816.5,158.125,1.0,1139.0,197.375,1.0,1150.0,280.0,1.0,889.0,265.5,1.0,973.0,253.25,1.0,1049.0,251.75,1.0
238,795.5,84.9375,1.0,857.5,87.1875,1.0,798.0,304.25,1.0,804.0,251.25,1.0,816.5,157.5,1.0,1139.0,196.875,1.0,1151.0,275.0,0.9995,888.0,265.5,1.0,972.5,251.375,1.0,1049.0,249.5,1.0
239,795.0,84.9375,1.0,856.5,87.1875,1.0,798.0,304.25,1.0,803.5,251.5,1.0,814.5,157.5,1.0,1139.0,194.625,1.0,1150.0,273.5,1.0,888.0,266.0,1.0,971.5,251.375,1.0,1051.0,249.125,1.0
240,794.5,82.9375,1.0,856.5,86.5,1.0,798.0,304.25,1.0,803.0,251.75,1.0,816.5,156.5,1.0,1139.0,191.5,1.0,1150.0,267.5,1.0,889.0,265.25,1.0,971.5,251.25,1.0,1052.0,249.0,1.0
241,795.0,82.9375,1.0,856.5,86.3125,1.0,798.0,304.25,0.9995,802.5,254.625,1.0,813.0,156.5,1.0,1139.0,191.5,1.0,1150.0,267.5,0.9995,889.0,264.0,1.0,971.5,251.25,1.0,1053.0,246.625,1.0
242,795.0,81.5,1.0,856.5,81.0625,1.0,797.0,303.25,1.0,802.5,254.625,1.0,813.0,156.0,1.0,1138.0,190.625,1.0,1151.0,267.0,1.0,889.0,263.5,1.0,971.5,250.0,1.0,1053.0,245.5,1.0
243,795.0,78.375,1.0,858.0,81.0625,1.0,796.5,304.75,1.0,801.0,251.5,1.0,816.5,156.5,1.0,1132.0,191.375,1.0,1151.0,265.0,1.0,889.0,265.25,1.0,968.5,247.75,1.0,1052.0,244.625,1.0
244,795.0,77.9375,1.0,858.0,81.0625,1.0,796.5,304.75,1.0,801.0,251.375,1.0,817.0,156.5,1.0,1132.0,191.5,0.9995,1151.0,265.0,1.0,888.5,265.25,1.0,967.0,247.75,1.0,1052.0,244.25,1.0
245,795.0,77.9375,1.0,858.0,81.0,1.0,796.5,312.0,1.0,801.0,249.625,1.0,818.5,156.125,0.9995,1131.0,191.375,1.0,1151.0,265.0,1.0,888.5,264.75,1.0,966.5,247.75,1.0,1051.0,243.5,1.0
246,795.0,78.75,1.0,857.5,81.0625,1.0,798.0,312.0,0.999,802.0,249.625,1.0,819.0,156.125,1.0,1130.0,189.5,1.0,1151.0,263.25,0.9995,888.0,265.75,1.0,966.0,249.25,1.0,1048.0,243.0,1.0
247,795.5,78.75,1.0,857.5,81.0,1.0,798.5,340.75,1.0,801.0,249.625,1.0,819.5,160.25,1.0,1130.0,189.5,0.9995,1151.0,263.0,1.0,886.5,265.75,1.0,965.0,249.375,1.0,1046.0,242.625,1.0
248,795.5,78.75,1.0,855.0,80.375,1.0,798.5,340.75,1.0,801.0,251.5,1.0,819.5,160.25,0.9995,1130.0,187.25,1.0,1152.0,261.75,1.0,886.5,266.0,1.0,964.5,249.625,1.0,1048.0,242.5,1.0
249,794.0,78.8125,1.0,855.0,80.125,1.0,798.0,340.75,1.0,799.5,251.5,1.0,819.5,160.25,1.0,1126.0,186.25,1.0,1152.0,261.75,0.9995,886.0,266.0,1.0,964.5,249.375,1.0,1048.0,242.0,1.0
250,791.5,78.8125,1.0,852.5,76.25,1.0,797.5,339.5,1.0,799.5,251.5,1.0,819.5,160.25,1.0,1126.0,177.375,1.0,1152.0,261.75,1.0,886.0,268.5,1.0,959.0,249.375,1.0,1053.0,242.0,1.0
251,791.0,78.8125,1.0,851.5,76.125,1.0,797.0,336.5,1.0,799.5,246.5,1.0,818.5,155.875,1.0,1126.0,165.875,0.999,1146.0,276.25,0.579,886.0,271.75,1.0,964.5,249.375,1.0,1053.0,242.0,1.0
252,791.0,78.8125,1.0,851.5,76.125,1.0,796.0,333.5,0.9995,799.5,246.5,1.0,818.5,155.875,1.0,1126.0,163.5,0.998,1135.0,297.75,1.0,885.5,271.75,1.0,958.5,249.375,1.0,1053.0,241.375,1.0
253,791.0,78.8125,1.0,852.5,76.25,1.0,796.0,333.5,0.9614,799.5,246.5,1.0,820.0,155.875,1.0,1125.0,123.0,0.961,1127.0,315.0,1.0,885.5,271.5,1.0,958.5,249.375,1.0,1053.0,241.375,0.9985
254,794.5,78.8125,1.0,852.5,78.125,1.0,796.0,334.25,1.0,799.5,249.5,1.0,820.0,155.875,1.0,1091.0,123.0,0.978,1106.0,338.75,1.0,884.5,271.5,1.0,957.5,251.5,1.0,1056.0,241.625,1.0
255,795.5,78.1875,1.0,855.0,78.125,1.0,796.0,334.25,1.0,799.5,249.5,1.0,820.5,156.0,1.0,1088.0,116.1875,1.0,1095.0,339.25,1.0,886.0,271.5,1.0,949.0,251.5,1.0,1055.0,241.625,1.0
256,795.5,79.625,1.0,857.5,78.875,1.0,795.5,338.25,1.0,799.0,249.5,1.0,822.0,156.625,1.0,1084.0,116.1875,1.0,1092.0,345.5,1.0,883.0,271.5,1.0,949.0,258.75,1.0,1057.0,241.625,1.0
257,795.5,80.9375,1.0,857.5,78.875,1.0,796.0,338.25,1.0,799.0,249.5,1.0,822.0,157.75,1.0,1088.0,124.5,1.0,1092.0,347.0,1.0,881.5,271.5,1.0,944.0,258.75,1.0,1057.0,241.875,1.0
258,793.5,80.9375,1.0,855.0,80.8125,1.0,795.5,338.0,1.0,799.0,249.25,1.0,822.0,161.625,1.0,1090.0,125.375,1.0,1092.0,347.0,1.0,879.0,270.75,1.0,944.0,258.75,1.0,1057.0,241.625,1.0
259,793.5,81.1875,1.0,857.5,81.8125,1.0,796.0,338.25,1.0,798.5,249.25,1.0,819.5,162.25,1.0,1090.0,128.0,1.0,1091.0,354.0,1.0,878.0,269.25,1.0,944.0,258.75,1.0,1061.0,234.375,1.0
260,793.5,81.1875,1.0,857.5,84.1875,1.0,795.5,338.0,1.0,796.0,253.5,1.0,819.0,162.375,1.0,1090.0,136.875,1.0,1090.0,355.5,1.0,876.0,269.25,1.0,944.0,258.25,1.0,1062.0,233.875,0.9995
261,793.5,81.1875,1.0,854.0,88.0,1.0,795.5,338.0,0.9985,796.0,253.75,1.0,819.0,163.25,1.0,1094.0,137.5,1.0,1096.0,355.5,1.0,873.0,269.25,1.0,940.0,258.25,1.0,1061.0,233.75,1.0
262,793.5,87.25,1.0,856.5,88.0625,1.0,794.5,338.75,1.0,795.0,255.125,1.0,807.0,192.25,1.0,1094.0,138.25,1.0,1089.0,356.0,1.0,872.5,269.25,1.0,940.0,260.25,1.0,1061.0,233.125,1.0
263,793.5,87.25,1.0,857.5,88.25,1.0,794.5,339.0,1.0,794.5,255.75,1.0,807.0,190.875,1.0,1094.0,148.25,1.0,1088.0,358.75,1.0,872.0,271.0,1.0,939.5,262.25,1.0,1060.0,233.125,1.0
264,793.5,87.25,1.0,856.5,92.4375,1.0,793.0,339.25,1.0,794.5,255.75,1.0,807.0,190.875,1.0,1094.0,150.75,0.9995,1087.0,358.75,1.0,871.0,272.0,1.0,940.0,263.5,1.0,1053.0,233.75,0.9995
265,793.5,90.5,1.0,854.0,92.4375,1.0,793.0,343.5,1.0,787.5,255.125,1.0,804.5,171.0,1.0,1095.0,160.375,1.0,1088.0,362.75,1.0,872.5,272.0,1.0,940.5,263.5,1.0,1034.0,233.75,1.0
266,779.5,96.0625,1.0,842.0,92.4375,1.0,781.0,343.75,1.0,784.5,249.375,1.0,804.5,171.0,1.0,1095.0,169.75,1.0,1087.0,362.75,1.0,871.0,287.25,1.0,940.5,265.0,1.0,1027.0,238.5,1.0
267,773.0,96.0625,1.0,821.5,91.9375,1.0,780.0,345.5,1.0,784.5,247.875,1.0,802.5,169.875,1.0,1094.0,169.75,1.0,1085.0,356.5,1.0,863.5,287.75,1.0,939.5,265.0,1.0,1022.0,238.5,1.0
268,760.5,96.0625,0.01,820.0,88.6875,0.01,775.0,345.5,1.0,781.5,239.125,1.0,797.0,155.125,0.01,1093.0,169.75,1.0,1087.0,306.0,0.9907,863.5,287.75,1.0,939.5,264.75,1.0,1027.0,236.125,1.0
269,755.5,84.0,0.01,816.5,83.375,0.01,773.5,343.5,0.01,765.5,237.125,0.01,792.0,155.125,0.01,1093.0,163.625,1.0,1098.0,305.0,0.9995,860.5,287.75,1.0,933.5,262.0,1.0,1027.0,232.375,1.0
270,749.5,78.25,1.0,810.0,74.5,1.0,771.5,340.0,0.9995,761.5,236.0,1.0,786.5,155.125,1.0,1093.0,151.0,1.0,1098.0,303.5,0.9995,858.0,270.0,1.0,933.5,253.875,1.0,1028.0,220.375,1.0
271,747.5,78.0625,1.0,810.0,64.5,1.0,765.0,305.25,0.9995,761.0,236.0,1.0,778.5,155.75,1.0,1094.0,147.875,0.997,1114.0,250.375,0.9995,858.0,251.875,1.0,930.5,226.75,1.0,1029.0,211.5,1.0
272,746.5,76.3125,1.0,807.0,64.25,1.0,762.5,302.5,1.0,760.0,235.5,1.0,778.0,155.75,1.0,1101.0,147.0,1.0,1114.0,248.875,0.997,858.0,244.625,1.0,933.5,220.375,1.0,1039.0,206.875,1.0
273,746.5,68.125,1.0,807.0,63.90625,1.0,761.5,301.25,1.0,757.5,233.75,1.0,777.0,155.75,1.0,1101.0,132.875,0.983,1114.0,241.375,1.0,860.5,241.625,1.0,934.5,217.625,1.0,1039.0,203.0,1.0
274,746.5,65.1875,1.0,808.5,63.6875,1.0,756.5,301.25,1.0,755.5,223.25,1.0,778.0,145.0,1.0,1101.0,132.875,0.999,1114.0,237.0,1.0,862.5,238.5,1.0,935.0,214.75,1.0,1039.0,200.125,1.0
275,746.5,63.65625,1.0,808.5,61.375,1.0,754.5,301.0,1.0,753.5,220.875,1.0,776.0,137.75,1.0,1095.0,132.875,0.9985,1114.0,232.625,1.0,862.5,239.0,1.0,935.5,214.75,1.0,1039.0,200.125,1.0
276,747.5,61.125,1.0,808.0,61.375,1.0,750.5,298.5,1.0,753.5,218.875,1.0,775.5,137.75,1.0,1091.0,133.5,0.9995,1127.0,231.25,0.9985,862.5,239.0,1.0,936.0,214.75,1.0,1030.0,200.125,1.0
277,747.5,60.09375,1.0,808.0,60.125,1.0,750.5,293.5,1.0,753.5,217.375,1.0,775.5,137.75,1.0,1091.0,153.5,1.0,1128.0,231.25,1.0,858.5,239.0,1.0,938.0,222.5,1.0,1029.0,206.0,1.0
278,751.0,58.875,1.0,808.0,60.6875,1.0,750.0,285.5,1.0,760.0,217.375,1.0,776.0,139.375,1.0,1087.0,156.0,1.0,1129.0,228.375,1.0,858.5,248.75,1.0,938.5,231.25,1.0,1024.0,206.125,1.0
279,751.0,56.34375,1.0,808.0,60.6875,1.0,750.0,282.5,1.0,760.5,217.375,1.0,776.0,139.375,1.0,1087.0,156.0,1.0,1129.0,226.375,1.0,858.5,248.75,1.0,942.5,233.625,1.0,1019.5,206.125,1.0
280,751.0,56.09375,1.0,808.5,60.125,1.0,751.5,279.5,1.0,760.5,217.375,1.0,778.5,139.375,1.0,1087.0,157.75,1.0,1128.0,219.625,0.9995,858.5,250.5,1.0,941.0,234.25,1.0,1016.0,208.875,1.0
281,751.0,56.09375,1.0,809.0,60.125,1.0,752.0,279.5,1.0,761.0,217.375,1.0,779.5,139.375,1.0,1086.0,157.75,1.0,1130.0,219.625,0.999,860.5,252.25,1.0,941.0,234.25,1.0,1016.0,208.875,1.0
282,751.0,56.34375,1.0,809.5,60.6875,1.0,756.0,282.25,1.0,761.0,218.5,1.0,783.5,139.375,1.0,1086.0,157.75,1.0,1130.0,218.75,1.0,862.5,255.5,1.0,942.0,234.25,1.0,1019.5,206.875,1.0
283,759.5,58.875,1.0,822.0,68.125,1.0,757.5,282.25,1.0,766.0,218.5,1.0,788.0,147.0,1.0,1088.0,158.125,1.0,1130.0,219.625,1.0,862.5,255.5,1.0,942.0,234.375,1.0,1016.0,207.25,1.0
284,763.5,58.875,0.9995,823.0,68.625,1.0,757.5,278.75,1.0,769.5,218.5,1.0,788.5,147.0,1.0,1090.0,158.25,1.0,1130.0,219.625,1.0,862.5,255.5,1.0,942.0,234.5,1.0,1016.0,208.375,1.0
285,766.5,59.09375,0.9995,824.5,69.1875,1.0,757.5,281.5,1.0,769.5,218.5,1.0,789.5,150.375,1.0,1090.0,159.875,1.0,1130.0,220.625,1.0,862.5,249.5,1.0,944.0,234.5,1.0,1011.5,208.375,1.0
286,767.0,58.875,1.0,826.5,71.375,1.0,752.5,281.5,1.0,766.0,217.0,1.0,789.5,147.0,1.0,1092.0,161.125,1.0,1132.0,223.625,1.0,861.5,249.5,1.0,944.0,234.5,1.0,1001.5,208.375,1.0
287,767.0,57.75,1.0,825.0,71.375,1.0,751.5,281.5,1.0,766.0,217.0,1.0,789.5,146.125,1.0,1096.0,164.75,1.0,1132.0,229.125,1.0,861.0,249.5,1.0,944.0,234.5,1.0,1001.5,212.375,1.0
288,766.5,57.75,0.9995,825.0,71.9375,1.0,751.0,282.0,1.0,766.0,216.375,1.0,792.0,140.75,1.0,1098.0,170.625,0.999,1132.0,234.375,1.0,858.5,255.875,1.0,936.5,236.625,1.0,998.0,220.125,0.9995
289,765.0,58.96875,1.0,826.5,71.375,1.0,751.0,284.5,1.0,764.5,216.375,1.0,792.0,136.5,1.0,1105.0,180.375,1.0,1131.0,244.375,0.9995,847.5,257.25,1.0,931.0,242.125,1.0,1001.0,224.75,1.0
290,763.5,58.15625,1.0,825.0,67.3125,1.0,751.0,285.0,1.0,764.5,216.25,1.0,792.0,133.875,1.0,1109.0,183.875,0.9995,1127.0,247.25,0.9995,847.0,257.5,1.0,928.0,246.625,0.9985,1001.0,227.0,1.0
291,761.5,58.15625,1.0,824.5,66.1875,1.0,752.5,285.0,1.0,764.5,216.25,1.0,790.5,131.0,1.0,1110.0,185.5,0.9995,1123.0,262.75,0.998,846.5,266.25,1.0,927.5,246.625,1.0,1001.0,228.0,1.0
292,761.5,58.375,1.0,823.5,64.1875,1.0,754.5,285.0,1.0,764.5,213.5,1.0,791.5,131.0,1.0,1110.0,190.875,1.0,1095.0,307.25,0.7524,846.5,269.25,1.0,925.0,246.625,1.0,995.0,230.25,0.9995
293,760.0,58.15625,1.0,822.5,57.84375,1.0,754.5,285.0,0.999,764.5,211.625,1.0,790.5,128.375,0.999,1111.0,190.875,1.0,1094.0,307.5,0.9995,846.5,269.25,1.0,925.0,248.625,1.0,1001.0,230.25,0.9995
294,760.0,54.90625,1.0,821.0,57.59375,1.0,754.5,285.0,1.0,764.5,211.25,1.0,790.0,118.1875,1.0,1111.0,190.875,1.0,1094.0,307.75,0.9995,847.0,269.25,1.0,926.0,250.125,1.0,1003.5,230.25,1.0
295,754.5,54.34375,1.0,817.5,54.375,1.0,751.5,285.0,1.0,763.5,209.75,1.0,790.0,118.1875,1.0,1111.0,187.125,1.0,1094.0,308.25,0.9995,846.5,267.0,1.0,926.0,250.125,1.0,1003.0,231.875,1.0
296,752.0,53.03125,1.0,816.5,49.5625,1.0,751.5,284.0,1.0,760.5,206.875,1.0,788.5,119.875,1.0,1114.0,185.75,1.0,1094.0,308.25,1.0,847.0,265.25,1.0,926.0,250.125,1.0,1003.5,231.0,1.0
297,751.5,53.03125,1.0,816.0,49.0,1.0,750.0,284.0,1.0,755.0,204.375,1.0,784.5,119.875,1.0,1115.0,184.125,1.0,1093.0,309.0,0.9995,847.0,264.5,1.0,926.5,248.625,1.0,1004.0,228.375,1.0
298,751.0,49.96875,1.0,815.5,47.09375,1.0,749.5,284.75,1.0,754.0,204.375,1.0,780.5,129.0,0.999,1115.0,179.125,1.0,1093.0,309.0,0.9995,847.0,264.0,1.0,928.5,245.25,1.0,1006.5,228.375,1.0
299,751.0,49.03125,1.0,813.5,46.0625,1.0,749.0,284.75,1.0,753.0,204.375,1.0,774.0,129.0,1.0,1114.0,178.625,1.0,1093.0,309.0,1.0,846.5,254.5,1.0,928.5,235.75,1.0,1006.5,228.375,1.0
300,747.5,45.0,1.0,813.0,42.59375,1.0,735.0,278.25,1.0,737.5,204.375,1.0,773.5,129.0,1.0,1113.0,176.375,1.0,1093.0,299.0,1.0,846.0,250.5,1.0,928.5,221.75,1.0,1006.5,228.125,1.0
